"taskCount","taskId","userId","time","AOI","X","Y","Z"
10,"26_L-WL0_R-NM0",61536991,"3713","corridor_left","-149,99999999999997","-10,254223296143941","-4,014227634875535"
11,"49_L-NM0_R-WM1",61536991,"5990","corridor_right","150","9,82462655431182","15,543109564988043"
12,"24_L-NS1_R-WL0",61536991,"5712","corridor_left","-150,00000000000003","-14,030404231591973","-9,40674198513993"
13,"32_L-WS0_R-NL0",61536991,"4974","corridor_left","-149,99999999999997","-30,930439406750658","-31,8945246901849"
14,"57_L-WL1_R-NM0",61536991,"5335","corridor_left","-149,99999999999997","3,940452148325413","7,84450403111338"
15,"06_L-EM0_R-EM0",61536991,"2094","corridor_left","-150","-18,734601109905228","-15,40678162271631"
16,"55_L-NS1_R-WM0",61536991,"5303","corridor_left","-150,00000000000003","-11,060339376356936","-4,48129292697611"
17,"52_L-NM1_R-WM0",61536991,"5499","corridor_left","-150,00000000000003","0,22191151323663405","-2,913073419706194"
18,"13_L-WS0_R-NM1",61536991,"4339","corridor_right","150,00000000000003","-4,576461645323171","-8,215632775248736"
19,"18_L-NL1_R-WS0",61536991,"3693","corridor_left","-150,00000000000003","3,3800320133309114","-4,756921684240595"
20,"21_L-NS0_R-WL0",61536991,"4871","corridor_left","-150","-21,783831222457387","-18,295371381515366"
0,"L-NL0_R-WS1_in_tr",61560983,"1445","corridor_left","-1.5e+16","-34416386144734664","-25463149487589104"
0,"27_L-WL0_R-NS0_tr",61560983,"3367","corridor_left","-1.5e+16","-30178128704334632","14888068790326152"
0,"09_L-ES0_R-EL1_tr",61560983,"3733","corridor_left","-150","-42205616750051232","-11328527832486444"
1,"30_L-WM0_R-NL0",61560983,"4251","corridor_left","-1.5e+16","-17209078016869324","1469297753523043"
2,"50_L-NM0_R-WS1",61560983,"4614","corridor_left","-1.5e+16","-29871167287949376","-11784780773056752"
3,"33_L-WS0_R-NL1",61560983,"3584","corridor_left","-150","-2749408866734849","-11781190605560100"
4,"23_L-NS0_R-WM0",61560983,"4801","corridor_left","-1.5e+16","-13192203186585488","-25549496706506372"
5,"14_L-WS1_R-NM0",61560983,"3119","corridor_left","-150","-2754006308269043","-8368555359612117"
6,"17_L-NL0_R-WS1",61560983,"4954","corridor_left","-1.5e+16","-3333169383664246","-13514845984538952"
7,"05_L-EM0_R-EL0",61560983,"5322","corridor_left","-1.5e+16","-4418265704515579","-24254471916046652"
8,"61_L-WM1_R-NL0",61560983,"5125","corridor_left","-150","-3342255634937725","-31101993908091784"
